gene,score
PSMB2,0.00024139153934510258
NME2,0.00024098040987536608
PIK3C3,0.00024091602550248335
GPX4,0.000240402939640467
WDR90,0.00024017958496679682
CCT4,0.00024016598759135183
MRPS2,0.00023962196961379854
RPL18,0.00023960558928564854
HSPA1A,0.00023957023568562226
NME1,0.000239456491044868
RABIF,0.00023918824259643718
MRPS15,0.0002391759827162233
RPS29,0.0002390286213060294
EIF5A,0.00023853582694922598
CCN2,0.00023825841396722422
ERVFRD-1,0.0002381095901576183
MRPL22,0.0002378694676416871
ADSS1,0.00023648334603040467
HUWE1,0.0002364351731196034
VASP,0.00023633487456757685
MRPS14,0.00023579676461737287
EIF2AK4,0.00023559160501198116
ATP7A,0.00023557641581341659
MRPL12,0.0002355318309059106
ERV3-1,0.00023550197110626896
XRN1,0.00023543710276758602
POLR2F,0.00023507119373573638
HTT,0.00023475614529052142
TAF1,0.00023382160575064184
TLN2,0.00023371294299635853
RPL27A,0.0002335322338943824
MRPL1,0.00023330320388582944
PGP,0.00023325252253994676
ADD1,0.00023278929970506893
CCT8,0.00023271257851142417
HSPB6,0.0002323689254213772
RPL17-C18orf32,0.0002323568971738634
ACTR3,0.0002322137460414296
UCK1,0.00023166806048061092
EIF4A1,0.00023106225685140145
SRY,0.00023103763068809953
ADCY10,0.00023102692181310163
FANCE,0.00023096582357130254
NAA10,0.00023069136721377723
ASPM,0.00023050597389305584
IPO8,0.0002303262385298844
PCNA,0.00022953378919109762
RPS15A,0.00022952376581050055
HNRNPA1,0.00022907252156246418
TPM2,0.00022898066280139495
RPL7L1,0.0002288815008073204
MINPP1,0.0002286392171940504
PYCR1,0.00022849577057552426
ERO1A,0.00022813182025897385
PPP1R26,0.0002280512252203162
MRNIP,0.0002279886455444856
IMPDH2,0.00022765198257478826
MAP3K7,0.00022764935892591537
GFAP,0.00022747830191558892
HSPB1,0.00022667646897107037
STS,0.00022647086970936075
CXorf66,0.00022624342327219021
NPSR1,0.00022554525692515854
GLRX,0.00022547159826951217
PRKG1,0.0002254099937463429
CHD7,0.00022472462950579695
RPS24,0.00022453299561152066
QPRT,0.0002245243190085665
CMPK1,0.00022439393499453842
TPH2,0.00022437361891446508
MCM2,0.0002236945863311046
PMPCB,0.000223347260630838
NGB,0.00022294869976272497
PNPT1,0.00022277027795566663
ADD3,0.00022275127530524733
APIP,0.00022257289061936023
CD244,0.00022202927522539572
LAG3,0.00022202534130522441
CD99,0.00022177628583830786
MCL1,0.00022160710096642415
SMKR1,0.00022145619470230742
ICOS,0.0002211537823923761
LIMK1,0.00022097700528764957
DCP2,0.00022095214994289472
PSMA3,0.00022087889548646624
ATP6V0A1,0.00022086551839221413
RUVBL1,0.00022055693613836966
FBXW7,0.00022055493087435118
ADD2,0.0002196531722256299
HMGN2,0.00021900862342421243
APBB1IP,0.00021884847101620843
ZFX,0.00021867703915750866
GRB10,0.00021814899628836709
MTX1,0.00021812028099781565
CITED2,0.00021799739819993813
EDC3,0.00021788490123418125
C1QA,0.0002177556997663531
ABCB7,0.00021773745705383563
CETN3,0.00021763098955055054
HNRNPK,0.00021750021959382265
CDC7,0.0002169817887046994
CTSD,0.00021674670270586946
PSMD2,0.00021660062682224383
FYN,0.0002165817858953296
SAMHD1,0.00021648151356274965
ETFB,0.00021625852869917923
ISG15,0.0002162025055266213
TEX48,0.00021610695147771712
SPATA4,0.00021577139149239549
GRB7,0.00021564216803889044
GRB14,0.00021542121646531384
ASB9,0.00021502804703276186
HIPK2,0.00021502589341202894
ARHGAP6,0.00021486149148166169
THBS3,0.00021467514222949126
TLR2,0.00021458879975967256
DHPS,0.0002144578319088032
APOA1,0.0002143503768400953
EIF3I,0.00021379998690961263
POU3F4,0.00021245107591280076
MAPK8IP3,0.00021242960959792667
RAPH1,0.00021175002390338166
EZR,0.00021151119322665332
ECEL1,0.0002113886788478503
TUBB3,0.00021130631360026587
ITPA,0.00021121908392756454
ABCC6,0.00021115603132076423
PDIA4,0.0002109702171239801
GSTP1,0.00021066339213880346
LONP1,0.0002106094294156356
LTF,0.00021049899361252146
ANXA1,0.00021042544730899635
MAP4K1,0.00021029460533388545
DPYSL2,0.00020987124710071615
POLR2L,0.00020974824088973066
PPP1R10,0.00020895454554839123
BAG3,0.00020828144331065443
SLC2A5,0.0002078368843866571
LARP7,0.0002078090717503449
GUK1,0.0002074955050434878
LGI2,0.00020732196891555082
CDH2,0.00020718404178699207
CA2,0.00020710140559971482
SLC12A6,0.00020709560527804437
H2BC1,0.00020671830536988484
MMP28,0.0002064379553445547
GSN,0.00020626850689412106
SLC25A3,0.00020590930894973198
TAGLN,0.00020588206702929838
VTN,0.00020541203985763166
PPP2R1A,0.00020516419308141338
RECQL4,0.00020507232786215758
XRCC6,0.00020414367971213892
ATP6V1B2,0.00020367842859961088
OXCT1,0.00020351585471905351
H2BC3,0.00020348981140670553
MSN,0.0002032105856048296
HSPA6,0.00020292704535871574
ACTN1,0.00020273707566454002
TNF,0.00020260943668873725
H2BC11,0.0002025463219277167
TG,0.00020245010299942086
PDIA6,0.00020222773100306868
CKB,0.00020193752251624456
PROM1,0.00020181018461383558
H2BC12,0.00020143396516332485
NIT2,0.00020134414728009678
H2BC5,0.00020111979032217295
H2BC17,0.00020010542676691102
H2BC9,0.00019997863005063042
H2BC14,0.00019976781818524723
FUCA1,0.00019971509866489092
H2BC4,0.0001996798514756856
HSPB2,0.00019967372642526378
CD47,0.00019913301662194565
NME1-NME2,0.00019854487614602177
APMAP,0.0001981381554414444
H2BC12L,0.0001980833875328781
AKR1A1,0.00019801194013823798
ATP6V1A,0.00019767515657385994
H2BC13,0.00019729625751357136
HSPA1L,0.0001972896010528833
H2BC26,0.00019685899837904334
LRGUK,0.00019635806483709958
CHD4,0.00019617582102744087
H2BC15,0.0001960338199269297
GNB1,0.0001957450577841737
FDPS,0.00019566093694819002
EPCAM,0.00019544869555172296
FKBP1A,0.00019498605858629843
HLA-DRB1,0.00019480138856896545
ATP6V1B1,0.00019459924536829217
CA1,0.0001941300969748578
DECR1,0.00019357943394324889
TPM1,0.00019313091327612805
HSD17B10,0.00019287655146330742
GLOD4,0.00019286236809745199
HYOU1,0.00019254732513758157
UCK2,0.00019222195237090622
TAGLN2,0.00019214855889165025
GNL2,0.00019153739418674114
SCIN,0.00019123540486876467
RCVRN,0.00019115637010133483
H4C7,0.00019042469312286273
